,Total Upvotes,Time Stamp,Total Comments,Upvote Ratio,Submission #ID
939,14370,1485777193.0,310,0.57,5r08h1
876,14615,1485779880.0,213,0.61,5r0fye
992,14206,1485790270.0,1023,0.6,5r1erh
564,15930,1485798114.0,447,0.73,5r28mm
625,15597,1485805449.0,1245,0.51,5r317h
459,16656,1485822090.0,1076,0.81,5r4q7f
922,14445,1485825673.0,234,0.7,5r5222
980,14231,1485829228.0,2023,0.52,5r5dsw
912,14478,1485866869.0,210,0.72,5r7zeg
321,17906,1485866921.0,656,0.59,5r7zkf
712,15247,1485875546.0,871,0.6,5r8q1i
865,14651,1485880777.0,345,0.67,5r9956
502,16394,1485894449.0,555,0.55,5raqm2
744,15139,1485909662.0,239,0.67,5rc9qy
339,17762,1485911052.0,2056,0.51,5rcee7
839,14743,1485912798.0,224,0.65,5rck8i
401,17148,1485949519.0,616,0.56,5rf0l8
210,19170,1485956304.0,809,0.57,5rfhyz
465,16600,1485977977.0,1028,0.53,5rhnz5
53,25725,1485978926.0,748,0.59,5rhrpz
914,14477,1485980409.0,146,0.74,5rhxgd
130,21565,1486002662.0,2624,0.52,5rk51y
719,15227,1486002819.0,160,0.65,5rk5ju
290,18095,1486008219.0,951,0.57,5rkm0h
153,20818,1486034003.0,2218,0.53,5rm61t
748,15131,1486040179.0,221,0.79,5rml56
240,18685,1486041003.0,1214,0.59,5rmnhr
578,15849,1486042896.0,504,0.73,5rmt8p
718,15239,1486052257.0,293,0.81,5rno6y
293,18081,1486063832.0,316,0.64,5rovqn
844,14733,1486064041.0,838,0.64,5rowg4
907,14497,1486067325.0,332,0.65,5rp8pd
79,23570,1486080864.0,1408,0.54,5rqlel
259,18446,1486084306.0,1050,0.57,5rqx0g
466,16571,1486121712.0,672,0.51,5rtfye
497,16415,1486122539.0,537,0.7,5rthvo
966,14283,1486125789.0,515,0.86,5rtpms
919,14459,1486128786.0,550,0.68,5rtxlt
66,24683,1486132107.0,1296,0.58,5ru782
795,14909,1486139501.0,858,0.51,5ruw7w
180,19820,1486149680.0,1117,0.53,5rvxkz
788,14935,1486153283.0,143,0.59,5rwark
905,14523,1486158071.0,273,0.69,5rwrjw
383,17289,1486165597.0,886,0.82,6cp5vk
397,17156,1486169721.0,674,0.52,5rxt2o
730,15181,1486174763.0,326,0.55,5ry7fe
861,14662,1486210720.0,626,0.51,5s099x
335,17791,1486217381.0,565,0.53,5s0qtp
223,18894,1486223111.0,675,0.58,5s19h3
126,21720,1486232721.0,1074,0.53,5s24ga
890,14567,1486242771.0,377,0.72,5s35vz
141,21072,1486249542.0,1277,0.56,5s3y1r
994,14197,1486312920.0,604,0.5,5s8cck
319,17924,1486351200.0,369,0.54,5sbsdi
221,18960,1486384959.0,3033,0.56,5se0bm
597,15739,1486395193.0,1506,0.53,5seuty
602,15718,1486403507.0,303,0.59,5sfp67
801,14893,1486406700.0,236,0.82,5sg1a8
124,21728,1486411915.0,795,0.51,5sgl6o
496,16430,1486465012.0,394,0.54,5skrec
846,14717,1486473049.0,488,0.67,5slam3
988,14219,1486473213.0,535,0.79,5slb1z
830,14779,1486494289.0,417,0.7,5snct8
750,15114,1486495472.0,661,0.51,5snhfh
377,17325,1486523009.0,838,0.78,6uh36h
533,16146,1486565991.0,720,0.57,5st4lh
501,16382,1486583145.0,858,0.53,5sv00c
678,15414,1486596756.0,553,0.52,5swe5d
235,18772,1486603976.0,714,0.53,5sx1xs
555,15967,1486637030.0,695,0.59,5szbee
711,15261,1486643862.0,416,0.63,5szqys
373,17373,1486644432.0,695,0.52,6cct6z
878,14612,1486690265.0,307,0.54,5t4e12
984,14219,1486731241.0,669,0.55,5t73vv
191,19515,1486757169.0,677,0.53,5t9kst
317,17939,1486774251.0,810,0.55,5tb71r
364,17501,1486861919.0,1330,0.51,5envo6
542,16084,1486912783.0,766,0.51,5tlvrh
736,15158,1486926094.0,636,0.55,5tnby5
266,18361,1486941034.0,1296,0.51,5tp54q
28,30195,1486957446.0,1048,0.6,5tqp0b
973,14250,1486981970.0,598,0.52,5ts721
952,14316,1486987340.0,739,0.57,5tshpn
883,14586,1486992527.0,201,0.61,5tsuk3
418,17023,1487016792.0,364,0.53,5tv7ng
209,19201,1487024637.0,853,0.51,5tw1s0
778,14996,1487079176.0,271,0.53,5u07hr
455,16705,1487081333.0,1109,0.61,5u0dsc
981,14227,1487087870.0,565,0.51,5u0z4d
950,14334,1487165902.0,790,0.57,5u7dw2
885,14574,1487167488.0,819,0.57,5u7ixm
664,15477,1487179193.0,490,0.86,5u8td5
684,15401,1487195764.0,1182,0.54,5uaky3
269,18335,1487200992.0,961,0.52,5ub3m8
488,16479,1487242960.0,726,0.52,5ue61f
902,14530,1487259053.0,272,0.66,5ufnbv
558,15968,1487337537.0,931,0.52,5um26v
813,14817,1487373329.0,840,0.51,5updun
968,14277,1487392843.0,756,0.59,5uquet
697,15333,1487511249.0,685,0.58,5uy91g
897,14541,1487516979.0,298,0.67,5uymbs
184,19669,1487545710.0,763,0.53,5v12o7
734,15168,1487598796.0,293,0.6,5v4mse
374,17370,1487614859.0,420,0.56,5szsas
925,14433,1487620394.0,362,0.58,5v6qu0
197,19446,1487627535.0,1282,0.53,5v7gji
773,15024,1487640167.0,434,0.72,5v8nqa
609,15686,1487649414.0,469,0.63,5v9f8o
137,21249,1487675711.0,1021,0.57,5vayik
161,20600,1487684592.0,666,0.59,5vbjcm
211,19164,1487705481.0,796,0.62,5vdkkv
358,17579,1487716426.0,444,0.57,62a8dh
400,17136,1487764040.0,718,0.59,5vi8am
896,14552,1487766822.0,315,0.66,5vier0
570,15913,1487794504.0,998,0.51,5vl31e
516,16292,1487805854.0,488,0.51,5vm9qe
241,18644,1487844877.0,811,0.59,5vpnjl
470,16563,1487862297.0,1346,0.52,5vquu8
381,17293,1487874685.0,581,0.53,5p114h
959,14290,1487887343.0,672,0.64,5vtg89
403,17135,1487934453.0,1349,0.58,5vwwx0
154,20796,1487936469.0,1712,0.58,5vx0ur
324,17892,1488038480.0,660,0.56,5w4pic
820,14805,1488048982.0,816,0.5,5w5mi2
135,21331,1488144945.0,1000,0.52,5wcl9j
726,15190,1488316866.0,2058,0.52,5wqgoc
628,15598,1488329275.0,164,0.6,5wrvsm
880,14592,1488332514.0,11209,0.91,5ws718
941,14357,1488337666.0,343,0.67,5wsnwt
849,14708,1488366554.0,489,0.58,5wv1t8
433,16901,1488384049.0,312,0.62,5wwrvj
705,15291,1488396515.0,613,0.53,5wy4br
725,15198,1488459928.0,698,0.56,5x32xk
792,14925,1488478737.0,727,0.51,5x4w1t
360,17549,1488491176.0,497,0.5,675gu6
600,15725,1488547417.0,386,0.56,5xaavx
568,15913,1488551808.0,150,0.65,5xanml
424,16988,1488554699.0,572,0.51,5xax2h
784,14965,1488556589.0,155,0.83,5xb3qd
389,17260,1488557556.0,74,0.56,5qtx2z
414,17058,1488557935.0,89,0.79,5xb8su
344,17700,1488558158.0,135,0.64,5xb9lp
541,16091,1488558911.0,112,0.86,5xbc9c
366,17484,1488561306.0,209,0.54,609x5q
990,14208,1488563767.0,286,0.84,5xbu70
871,14628,1488573561.0,209,0.62,5xcv1i
701,15311,1488573699.0,357,0.51,5xcvip
285,18127,1488668549.0,1500,0.53,5xjq11
822,14796,1488675124.0,406,0.54,5xk8gb
963,14288,1488682433.0,710,0.52,5xkra4
802,14887,1488821197.0,221,0.89,5xuigr
498,16395,1488828450.0,246,0.88,5xva1e
343,17718,1488898853.0,1029,0.53,5y0tr6
967,14271,1488916116.0,113,0.68,5y2xzz
757,15093,1488929600.0,319,0.89,5y4bsw
790,14940,1488934901.0,219,0.89,5y4tq3
654,15519,1488972281.0,380,0.91,5y7dwv
157,20748,1489057054.0,1909,0.69,5yeft4
686,15385,1489318410.0,723,0.53,5yya9v
458,16661,1489400538.0,378,0.56,5z48p0
550,16021,1489513907.0,239,0.68,5zdojt
164,20455,1489526698.0,1241,0.91,5zf1tf
899,14542,1489587364.0,899,0.53,5zjl17
884,14585,1489609984.0,685,0.53,5zlyx8
938,14371,1489659561.0,620,0.5,5zprqq
182,19816,1489767469.0,945,0.56,5zyit0
332,17815,1489783646.0,787,0.5,60070g
85,23185,1489835475.0,774,0.54,603lto
365,17488,1489928217.0,630,0.5,5tis9y
449,16799,1489939268.0,471,0.61,60aqjq
851,14691,1489958405.0,992,0.5,60cgx8
826,14786,1490041754.0,2010,0.5,60j0iu
796,14907,1490127462.0,1259,0.52,60q0z5
635,15569,1490203708.0,2312,0.5,60w1dr
445,16818,1490214206.0,461,0.86,60x5yj
787,14942,1490218687.0,799,0.88,60xmuy
766,15055,1490264607.0,1117,0.53,6110y1
676,15428,1490387849.0,780,0.83,61bi0b
931,14398,1490481794.0,490,0.5,61ictn
520,16256,1490533494.0,224,0.87,61lgh4
809,14846,1490612868.0,438,0.5,61rhzk
194,19478,1490702528.0,539,0.56,61ywqt
357,17580,1490828986.0,739,0.52,5bdfvs
791,14935,1490971704.0,498,0.69,62lm2o
610,15678,1490975205.0,584,0.54,62lz2e
716,15243,1490992138.0,386,0.81,62nvub
993,14201,1491237315.0,467,0.88,637wno
601,15726,1491307722.0,1000,0.9,63dp8g
651,15529,1491396945.0,344,0.56,63lc96
251,18535,1491421640.0,775,0.87,63nxsn
783,14976,1491658184.0,598,0.52,6470oa
300,18046,1491662235.0,392,0.54,647bgx
518,16287,1491876296.0,289,0.59,64o1dg
971,14268,1491953787.0,884,0.92,64ullw
340,17751,1492101668.0,2617,0.91,656mq4
351,17625,1492290761.0,501,0.94,5ml2z0
751,15111,1492337296.0,310,0.92,65og17
888,14574,1492380604.0,818,0.65,65rqqq
471,16555,1492431552.0,455,0.91,65v7dc
627,15602,1492547453.0,1398,0.94,665hck
866,14648,1492732910.0,507,0.61,66lpgl
359,17575,1492989747.0,747,0.89,5vepw3
611,15673,1493050114.0,596,0.93,67a06q
441,16854,1493111304.0,879,0.9,67fera
882,14590,1493138017.0,303,0.89,67hot1
689,15362,1493150834.0,1349,0.88,67j4md
828,14784,1493220493.0,689,0.66,67outb
423,17002,1493242224.0,416,0.92,67r7y9
475,16540,1493407902.0,810,0.88,684vgl
354,17600,1493464173.0,227,0.54,4nz19b
507,16367,1493488929.0,861,0.53,68aq37
645,15540,1493672165.0,545,0.9,68oorn
257,18452,1493849939.0,713,0.88,693mmi
596,15742,1494183422.0,1876,0.54,69t0rr
437,16874,1494278167.0,1021,0.78,6a10cl
408,17079,1494366642.0,2760,0.79,6a8jwa
562,15929,1494496776.0,597,0.9,6aj5vg
713,15254,1494616484.0,513,0.89,6atd0l
901,14535,1494889285.0,149,0.69,6bds41
387,17269,1494902880.0,951,0.9,ag21yo
591,15766,1494930464.0,712,0.87,6bgndp
681,15407,1495022223.0,583,0.53,6bo79o
921,14441,1495062782.0,238,0.55,6bsddk
872,14621,1495064957.0,117,0.56,6bskpm
702,15312,1495146645.0,60,0.61,6bznes
565,15914,1495146649.0,25,0.58,6bznf6
636,15580,1495146652.0,37,0.57,6bznfk
586,15794,1495146655.0,38,0.56,6bznfy
953,14318,1495146659.0,166,0.51,6bzngd
438,16873,1495155991.0,1892,0.68,6c0i4y
584,15798,1495202316.0,388,0.77,6c3sec
714,15242,1495302322.0,560,0.6,6cbneg
275,18248,1495306660.0,580,0.58,6cc1y5
372,17390,1495315173.0,580,0.67,6wsmhi
382,17289,1495478605.0,773,0.55,5vs4bp
243,18598,1495500178.0,1023,0.86,6crbp4
362,17538,1495555516.0,1148,0.84,5g12hp
583,15805,1495581591.0,578,0.87,6cycgx
511,16342,1495665393.0,492,0.81,6d5l9v
560,15941,1495729816.0,1567,0.73,6daq9h
308,17999,1495747217.0,1152,0.84,6dcktz
532,16160,1495808606.0,659,0.53,6dh95l
904,14529,1495830553.0,863,0.9,6djh2w
864,14651,1495991912.0,577,0.79,6duxnr
940,14357,1496080194.0,317,0.87,6e1pyw
803,14888,1496171037.0,622,0.88,6e9fbh
327,17872,1496242552.0,427,0.87,6efgzy
265,18373,1496257175.0,565,0.89,6eh49o
299,18045,1496347409.0,1393,0.74,6epd2c
407,17102,1496386931.0,545,0.86,6estyw
934,14399,1496408270.0,553,0.81,6eu7k7
249,18551,1496577289.0,829,0.85,6f6zgb
856,14672,1496621116.0,715,0.92,6faqyq
617,15636,1496764515.0,511,0.89,6fmnzp
670,15435,1496874688.0,1619,0.87,6fwwj9
943,14351,1496937406.0,108,0.84,6g1tg7
214,19095,1496941036.0,848,0.82,6g278w
815,14817,1496962848.0,292,0.86,6g4jhx
119,21957,1496967274.0,397,0.72,6g4xsl
739,15146,1496972177.0,617,0.84,6g5dcb
746,15136,1497222178.0,3065,0.87,6gogz5
104,22554,1497282891.0,752,0.88,6gt2zv
521,16247,1497450362.0,959,0.82,6h7tib
537,16111,1497454001.0,1236,0.88,6h878t
961,14299,1497473642.0,645,0.92,6hadm0
463,16620,1497524184.0,833,0.88,6hea1x
409,17073,1497555899.0,1257,0.89,6hhffd
786,14950,1497624737.0,802,0.84,6hmzzz
557,15966,1497659167.0,362,0.9,6hqg4e
638,15566,1497796693.0,525,0.9,6hzyco
631,15584,1497899686.0,667,0.88,6i8muy
915,14470,1497957596.0,289,0.89,6iddyz
698,15324,1498011277.0,836,0.93,6iitm4
937,14382,1498102814.0,622,0.94,6ir09t
595,15747,1498251307.0,685,0.87,6j3zy2
821,14801,1498354146.0,659,0.92,6jbsgu
889,14578,1498393925.0,308,0.93,6je3hl
143,21074,1498488169.0,1666,0.93,6jlhm4
629,15592,1498501601.0,590,0.93,6jmy8g
152,20870,1498534374.0,1717,0.95,6jq54r
577,15857,1498560513.0,256,0.94,6jrvfg
323,17909,1498571141.0,535,0.95,6jsrr2
853,14672,1498594914.0,558,0.93,6jvh0m
646,15538,1498618171.0,1087,0.86,6jxstr
280,18189,1498764655.0,652,0.91,6kaq1b
970,14273,1498841885.0,514,0.91,6kh77t
504,16380,1498914791.0,365,0.92,6kmwgk
505,16373,1498936854.0,502,0.91,6kow6j
918,14460,1499001705.0,1214,0.93,6kt77w
710,15266,1499011876.0,472,0.92,6ku0nr
891,14572,1499113603.0,240,0.93,6l2fd9
303,18040,1499209159.0,518,0.91,6lacah
837,14751,1499265866.0,381,0.95,6leg2t
320,17926,1499273406.0,533,0.94,6lf8zp
232,18793,1499294280.0,520,0.92,6lhjs9
932,14405,1499367923.0,382,0.94,6lo01k
782,14969,1499524803.0,771,0.94,6m1axg
900,14530,1499547315.0,348,0.95,6m3er5
580,15817,1499600510.0,645,0.93,6m70mw
527,16189,1499702975.0,180,0.88,6mff6x
927,14414,1499884373.0,284,0.84,6mvx5w
420,17009,1499899736.0,923,0.82,6mxkyh
347,17669,1500034198.0,1127,0.89,5pakz1
297,18062,1500074994.0,754,0.93,6ncouz
524,16227,1500210452.0,758,0.9,6nm4rl
481,16517,1500251536.0,444,0.94,6npros
974,14245,1500308465.0,259,0.91,6nu41j
427,16977,1500374913.0,637,0.52,6nzzrr
624,15602,1500723036.0,311,0.91,6ouixe
569,15916,1500811414.0,556,0.58,6p0yb1
538,16116,1501083215.0,857,0.81,6potoa
667,15460,1501152820.0,647,0.52,6pv5lu
793,14918,1501350929.0,572,0.91,6qcdlr
649,15531,1501525501.0,394,0.76,6qqc6s
113,22050,1501628970.0,1982,0.88,6r02z6
868,14631,1501868754.0,587,0.91,6rm5uw
273,18294,1502122686.0,370,0.92,6s6li0
983,14228,1502143042.0,649,0.91,6s8ya9
727,15193,1502234289.0,1441,0.9,6shf5j
671,15444,1502558649.0,2280,0.75,6t9ot1
976,14247,1502651039.0,323,0.74,6th0d5
572,15883,1502673633.0,201,0.79,6tj7ek
975,14245,1502775935.0,526,0.85,6tsb2c
825,14790,1502838172.0,600,0.79,6txxnb
808,14851,1502844453.0,481,0.78,6tyjkv
457,16658,1503003792.0,860,0.9,6ud0r5
376,17324,1503054051.0,735,0.95,5qawn8
706,15295,1503078368.0,846,0.71,6ujhii
935,14388,1503094798.0,821,0.82,6ul94s
519,16275,1503248593.0,349,0.84,6uwuop
722,15201,1503529971.0,376,0.88,6vmtj6
812,14829,1503677923.0,830,0.9,6vziju
768,15048,1503835832.0,480,0.91,6wbug0
89,22975,1503937030.0,922,0.87,6wkfg4
371,17420,1504026419.0,686,0.9,5h0fbr
843,14736,1504051125.0,521,0.86,6wvcil
281,18187,1504125171.0,408,0.9,6x2094
607,15699,1504196032.0,239,0.89,6x7twp
767,15046,1504645501.0,408,0.86,6yazdf
785,14962,1504784011.0,349,0.59,6ymm8i
216,19022,1505127548.0,407,0.9,6zeni4
799,14903,1505502417.0,583,0.89,70c057
453,16742,1505688242.0,378,0.87,70qudw
928,14417,1505832895.0,685,0.87,713hsz
410,17072,1506030189.0,396,0.91,71mh8j
168,20255,1506281136.0,840,0.82,7275cc
394,17186,1506293033.0,468,0.79,5guryd
503,16385,1506646777.0,981,0.9,734hik
491,16471,1506777549.0,217,0.58,73eull
425,16988,1506985090.0,580,0.56,73wfj8
178,19887,1507119652.0,1695,0.53,747ru7
811,14831,1507339036.0,393,0.8,74rzgb
913,14482,1508013083.0,731,0.9,76ek9z
525,16195,1508285860.0,442,0.85,772v6o
435,16901,1508329256.0,417,0.88,77661o
758,15083,1508724533.0,452,0.92,784p2x
728,15196,1508773269.0,381,0.81,788k2o
834,14769,1509037643.0,913,0.87,78wzb9
430,16946,1509383096.0,1298,0.82,79p34m
924,14435,1509487963.0,563,0.87,79zb43
279,18188,1510447728.0,1438,0.9,7cc9vw
965,14282,1511400387.0,1588,0.79,7evzql
207,19211,1512422399.0,1167,0.87,7hkhu6
506,16368,1512749730.0,1436,0.86,7ifyss
892,14561,1513534484.0,716,0.88,7kfbh7
874,14619,1513797455.0,832,0.9,7l3nc1
545,16054,1513986115.0,783,0.87,7ll6t7
322,17910,1514940846.0,1703,0.83,7nqy9j
440,16870,1515431986.0,398,0.92,7p007j
547,16041,1515713777.0,1055,0.73,7psd42
894,14565,1515727878.0,664,0.83,7ptu9t
277,18230,1516474418.0,733,0.85,7rs97r
798,14906,1517369481.0,581,0.88,7u6xpi
345,17699,1517394893.0,740,0.85,7u90vb
614,15645,1517590237.0,6771,0.84,7usm6f
835,14758,1519844152.0,687,0.83,80yjha
634,15585,1520892450.0,1098,0.85,83z0pq
696,15347,1524684868.0,1060,0.91,8ewdyf
688,15383,1524925021.0,919,0.91,8fk59n
729,15182,1525084219.0,610,0.92,8fyh05
554,15971,1525939499.0,645,0.91,8id8py
700,15321,1526837945.0,1703,0.9,8ku55l
579,15818,1528808994.0,407,0.92,8qissz
468,16572,1529362304.0,620,0.9,8s3vc8
592,15761,1531498487.0,638,0.86,8ylazn
348,17662,1531758530.0,1310,0.78,6n8mdq
603,15716,1537550629.0,1211,0.92,9hs494
369,17451,1538088430.0,1208,0.87,5fr1t4
522,16244,1538764280.0,832,0.91,9lowuu
946,14336,1538882429.0,712,0.95,9m24jz
167,20353,1539288656.0,513,0.93,9ndgej
691,15354,1539640139.0,951,0.93,9oh7ws
693,15355,1539873421.0,417,0.92,9p9u86
763,15063,1539954952.0,511,0.94,9pjphc
991,14209,1540162189.0,400,0.92,9q7z1s
776,15011,1540226768.0,252,0.91,9qfl27
887,14577,1540470972.0,327,0.91,9r9w0x
997,14081,1541155423.0,481,0.86,9tix6p
274,18268,1541561267.0,785,0.84,9uvomw
173,20152,1541687193.0,2010,0.88,9vaf99
956,14309,1541779177.0,675,0.92,9vllz0
594,15756,1542236185.0,1723,0.93,9x55xf
978,14232,1542920925.0,283,0.89,9zhzzo
431,16950,1547000073.0,932,0.9,ae2095
995,14146,1547066150.0,1136,0.9,aeb1h7
386,17265,1547509484.0,1427,0.68,4nq6l2
622,15609,1547578532.0,700,0.9,agbudx
84,23226,1547752413.0,2568,0.89,ah19vv
642,15544,1547859500.0,1769,0.89,ahh5ua
417,17031,1548091942.0,404,0.91,aicef8
581,15818,1548184914.0,759,0.92,aiqcsz
685,15396,1548290949.0,1873,0.84,aj6s2m
807,14871,1548949871.0,772,0.91,alqsjg
898,14536,1549365093.0,603,0.93,and3qq
301,18044,1549426185.0,614,0.9,anmtnf
942,14353,1549427082.0,560,0.94,anmyj2
549,16024,1549912491.0,690,0.93,apjs31
476,16528,1550618497.0,1102,0.95,asgvvh
585,15795,1550711764.0,1414,0.96,aswpjm
632,15588,1550754708.0,359,0.96,at2zfl
662,15493,1550871777.0,383,0.95,atn9um
704,15306,1550925855.0,617,0.95,atv527
957,14302,1551197462.0,253,0.94,av14ad
948,14333,1551307791.0,438,0.91,avjkro
741,15146,1552167253.0,459,0.95,az8ef1
553,15976,1553479296.0,815,0.94,b54qi1
630,15593,1553534789.0,1033,0.97,b5dl9c
996,14121,1555529795.0,332,0.95,bec1ha
770,15037,1555963728.0,507,0.95,bg6q2j
575,15863,1556705184.0,1178,0.96,bjfdnm
893,14557,1560280102.0,828,0.93,bzgr6o
717,15245,1560370970.0,722,0.9,bzw7sy
213,19141,1561322793.0,810,0.9,c4bjr8
647,15532,1561568460.0,1419,0.81,c5sbpm
77,23955,1561591019.0,1045,0.83,c5xqvy
395,17171,1561930880.0,346,0.88,728elj
